name,number,note,reading,kind,birth_date,m1_url,canonical_name,canonical_number
2丁拳銃,,,にちょうけんじゅう,u,1993年6月,,,
小堀裕之,,,こほりひろゆき,p,1974年01月09日,,,
2丁拳銃・小堀,,,にちょうけんじゅうこほり,p,,,小堀裕之,
小堀裕之（2丁拳銃）,,,こほりひろゆきにちょうけんじゅう,p,,,小堀裕之,
川谷修士,,,かわたにしゅうじ,p,1974年05月17日,,,
AMEMIYA,,,あめみや,p,1978年11月10日,,,
cacao,,,かかお,u,2020年2月,,,
高橋,,,たかはし,p,1996年11月26日,,,
浦田スターク,,,うらたすたーく,p,1998年10月24日,,,
たっぺい,,,たっぺい,p,1996年08月11日,,,
COWCOW,,,かうかう,u,1993年,,,
多田健二,,,ただけんじ,p,1974年08月08日,,,
COWCOW多田,,,かうかうただ,p,,,多田健二,
多田健二（COWCOW）,,,ただけんじかうかう,p,,,多田健二,
善し,,,よし,p,1974年10月19日,,,
COWCOW山田よし,,,かうかうやまだよし,p,,,善し,
COWCOW山田與志,,,かうかうやまだよし,p,,,善し,
COWCOW善し,,,かうかうよし,p,,,善し,
山田與志（COWCOW）,,,やまだよしかうかう,p,,,善し,
DonDokoDon,,,どんどこどん,u,1994年2月,,,
山口智充,,,やまぐちともみつ,p,1969年3月14日,,,
平畠啓史,,,ひらはたけいじ,p,1968年8月14日,,,
Gたかし,,,じーたかし,p,1978年9月30日,,,
Hi-Hi,,,はいはい,u,1994年4月,,,
上田浩二郎,,,うえだこうじろう,p,1973年11月9日,,,
岩崎一則,,,いわさきかずのり,p,1973年9月17日,,,
NON STYLE,,,のんすたいる,u,2000年,,,
石田明,,,いしだあきら,p,1980年02月20日,,,
NON STYLE石田,,,のんすたいるいしだ,p,,,石田明,
石田明（NON STYLE）,,,いしだあきらのんすたいる,p,,,石田明,
井上裕介,,,いのうえゆうすけ,p,1980年03月01日,,,
POISON GIRL BAND,,,ぽいずんがーるばんど,u,2000年7月,https://www.m-1gp.com/combi/1116.html,,
阿部智則,,,あべとものり,p,1979年08月29日,,,
吉田大吾,,,よしだだいご,p,1979年04月04日,,,
SAKURAI,,,さくらい,p,1978年10月26日,,,
TAIGA,,,たいが,p,1975年11月20日,,,
TKO,,,てぃーけーおー,u,1990年,,,
木本武宏,,,きもとたけひろ,p,1971年5月6日,,,
木下隆行,,,きのしたたかゆき,p,1972年1月16日,,,
キノッP,,,きのっぴー,p,,,木下隆行,
アキナ,,,あきな,u,2012年10月15日,https://www.m-1gp.com/combi/1833.html,,
秋山賢太,,,あきやまけんた,p,1983年06月24日,,,
山名文和,,,やまなふみかず,p,1980年07月03日,,,
ソーセージ,,,そーせーじ,u,2008年6月,,,
mossan,,,もっさん,p,1984年07月12日,,,
ジュリエッタ,,,じゅりえった,u,2013年7月1日,https://www.m-1gp.com/combi/641.html,,
貫太郎,,,かんたろう,p,1986年02月24日,,,
アキラ100％,,,あきらひゃくぱーせんと,p,1974年8月15日,,,
アジアン,,,あじあん,u,2002年,,,
馬場園梓,,,ばばぞのあづさ,p,1981年3月1日,,,
アジアン馬場園,,,あじあんばばぞの,p,,,馬場園梓,
隅田美保,,,すみだみほ,p,1975年11月29日,,,
あばれる君,,,あばれるくん,p,1986年9月25日,,,
あべこうじ,,,あべこうじ,p,1975年02月19日,,,
アンガールズ,,,あんがーるず,u,2000年9月,,,
山根良顕,,,やまねよしあき,p,1976年5月27日,,,
田中卓志,,,たなかたくし,p,1976年2月8日,,,
アンタッチャブル,,,あんたっちゃぶる,u,1994年,,,
柴田英嗣,,,しばたひでつぐ,p,1975年7月15日,,,
山崎弘也,,,やまざきひろなり,p,1976年1月14日,,,
アンドーひであき,,,あんどーひであき,p,1984年6月20日,,,
いとうあさこ,,,いとうあさこ,p,1970年6月10日,,,
伊藤麻子,,,いとうあさこ,p,,,いとうあさこ,
いぬ,,,いぬ,u,2010年4月,https://www.m-1gp.com/combi/7674.html,,
太田隆司,,,おおたりゅうじ,p,1987年08月08日,,,
有馬徹,,,ありまとおる,p,1987年12月25日,,,
ちょんまげラーメン,,,ちょんまげらーめん,u,2010年10月,https://www.m-1gp.com/combi/649.html,,
インディアンス,,,いんでぃあんす,u,,,ちょんまげラーメン,
きむ,,,きむ,p,1987年12月24日,,,
田渕章裕,,,たぶちあきひろ,p,1985年06月02日,,,
インパルス,,,いんぱるす,u,1998年12月,,,
板倉俊之,,,いたくらとしゆき,p,1978年01月30日,,,
板倉俊之（インパルス）,,,いたくらとしゆきいんぱるす,p,,,板倉俊之,
堤下敦,,,つつみしたあつし,p,1977年09月09日,,,
ウメ,,,うめ,p,1979年1月6日,,,
うるとらブギーズ,,,うるとらぶぎーず,u,2009年6月,https://www.m-1gp.com/combi/7675.html,,
八木崇,,,やぎたかし,p,1982年03月10日,,,
佐々木崇博,,,ささきたかひろ,p,1984年12月17日,,,
エバース,,,えばーす,u,2016年4月1日,https://www.m-1gp.com/combi/2751.html,,
町田和樹,,,まちだかずき,p,1992年04月24日,,,
佐々木隆史,,,ささきたかふみ,p,1992年11月06日,,,
エハラマサヒロ,,,えはらまさひろ,p,1982年5月29日,,,
エレキコミック,,,えれきこみっく,u,1997年1月1日,,,
やついいちろう,,,やついいちろう,p,1974年11月15日,,,
今立進,,,いまだちすすむ,p,1975年9月27日,,,
オール阪神,,,おーるはんしん,p,1957年03月07日,,,
おぎやはぎ,,,おぎやはぎ,u,1995年,,,
小木博明,,,おぎひろあき,p,1971年8月16日,,,
矢作兼,,,やはぎけん,p,1971年9月11日,,,
オズワルド,,,おずわるど,u,2014年11月,https://www.m-1gp.com/combi/2389.html,,
伊藤俊介,,,いとうしゅんすけ,p,1989年08月08日,,,
畠中悠,,,はたなかゆう,p,1987年12月07日,,,
カゲヤマ,,,かげやま,u,2009年04月01日,https://www.m-1gp.com/combi/2370.html,,
益田康平,,,ますだこうへい,p,1985年08月19日,,,
タバやん。,,,たばやん,p,1985年07月15日,,,
カニササレアヤコ,,,かにさされあやこ,p,1994年1月26日,,,
カベポスター,,,かべぽすたー,u,2014年5月1日,https://www.m-1gp.com/combi/741.html,,
永見大吾,,,ながみだいご,p,1989年12月19日,,,
カベポスター 永見,,,かべぽすたーながみ,p,,,永見大吾,
浜田順平,,,はまだじゅんぺい,p,1987年04月28日,,,
キャプテン渡辺,,,きゃぷてんわたなべ,p,1975年10月20日,,,
キングオブコメディ,,,きんぐおぶこめでぃ,u,2000年,,,
高橋健一,,,たかはしけんいち,p,1971年3月30日,,,
今野浩喜,,,こんのひろき,p,1978年12月12日,,,
キングコング,,,きんぐこんぐ,u,1999年9月,,,
西野亮廣,,,にしのあきひろ,p,1980年7月3日,,,
梶原雄太,,,かじわらゆうた,p,1980年8月7日,,,
キンタロー。,,,きんたろー,p,1981年10月24日,,,
くらげ,,,くらげ,u,2018年01月01日,https://www.m-1gp.com/combi/7859.html,,
渡辺翔太,,,わたなべしょうた,p,1988年08月23日,,,
杉昇,,,すぎのぼる,p,1988年05月07日,,,
クロコップ,,,くろこっぷ,u,2013年,,,
荒木好之,,,あらきよしゆき,p,1987年7月15日,,,
しょうた,,,しょうた,p,1987年6月11日,,,
クロスバー直撃,,,くろすばーちょくげき,u,2004年4月1日,https://www.m-1gp.com/combi/1151.html,,
前野悠介,,,まえのゆうすけ,p,1984年03月21日,,,
クロスバー直撃 前野悠介,,,くろすばーちょくげきまえのゆうすけ,p,,,前野悠介,
クロスバー直撃 前野,,,くろすばーちょくげきまえの,p,,,前野悠介,
クロスバー直撃前野,,,くろすばーちょくげきまえの,p,,,前野悠介,
渡邊センス,,,わたなべせんす,p,1984年02月04日,,,
ケンドーコバヤシ,,,けんどーこばやし,p,1972年7月4日,,,
コロコロチキチキペッパーズ,,,ころころちきちきぺっぱーず,u,2012年04月01日,https://www.m-1gp.com/combi/983.html,,
西野創人,,,にしのそうと,p,1991年09月21日,,,
ナダル,,,なだる,p,1984年12月23日,,,
サイクロンZ,,,さいくろんぜっと,p,1977年5月22日,,,
サンドウィッチマン,,,さんどうぃっちまん,u,1998年,,,
伊達みきお,,,だてみきお,p,1974年9月5日,,,
富澤たけし,,,とみざわたけし,p,1974年4月30日,,,
ジェラードン,,3人時代,じぇらーどん,u,2008年,https://www.m-1gp.com/combi/1070.html,,
ジェラードン,1,2人時代,じぇらーどん,u,,,,
かみちぃ,,,かみちぃ,p,1987年7月24日,,,
アタック西本,,,あたっくにしもと,p,1987年7月14日,,,
海野裕二,,,うみのゆうじ,p,1987年11月17日,,,
ジグザグジギー,,,じぐざぐじぎー,u,2008年2月22日,https://www.m-1gp.com/combi/25895.html,,
池田勝,,,いけだまさる,p,1981年12月11日,,,
宮澤聡,,,みやざわさとし,p,1984年05月17日,,,
じゅんいちダビッドソン,,,じゅんいちだびっどそん,p,1975年2月4日,,,
ジョックロック,,,じょっくろっく,u,2022年04月25日,https://www.m-1gp.com/combi/18951.html,,
ゆうじろー,,,ゆうじろー,p,1998年01月26日,,,
福本ユウショウ,,,ふくもとゆうしょう,p,1987年07月15日,,,
スギちゃん,,,すぎちゃん,p,1973年8月24日,,,
ゼンモンキー,,,ぜんもんきー,u,2020年4月1日,https://www.m-1gp.com/combi/12761.html,,
ヤザキ,,,やざき,p,1996年09月24日,,,
ムニエル,,,むにえる,p,1996年08月22日,,,
むらまつ,,,むらまつ,p,1997年02月10日,,,
ダンゴ虫たち,,,だんごむしたち,u,2024年07月17日,https://www.m-1gp.com/combi/29653.html,,
けんぞう,,,けんぞう,p,1995年06月15日,,,
さかざきまさき,,,さかざきまさき,p,1996年06月18日,,,
ゾフィー,,,ぞふぃー,u,2014年4月11日,,,
上田航平,,,うえだこうへい,p,1984年12月17日,,,
ヘベレケ齋藤,,,へべれけさいとう,p,1980年3月26日,,,
だーりんず,,,だーりんず,u,2011年08月30日,https://www.m-1gp.com/combi/25884.html,,
松本りんす,,,まつもとりんす,p,1977年11月10日,,,
だーりんず 松本りんす,,,だーりんずまつもとりんす,p,,,松本りんす,
小田祐一郎,,,おだゆういちろう,p,1977年3月13日,,,
ダイタク,,,だいたく,u,2009年4月,https://www.m-1gp.com/combi/941.html,,
吉本拓,,,よしもとたく,p,1984年12月28日,,,
吉本大,,,よしもとだい,p,1984年12月28日,,,
だいたひかる,,,だいたひかる,p,1975年05月25日,,,
タカアンドトシ,,,たかあんどとし,u,1994年05月,,,
タカ,,,たか,p,1976年04月03日,,,
トシ,,,とし,p,1976年07月17日,,,
ダンビラムーチョ,,,だんびらむーちょ,u,2011年04月,https://www.m-1gp.com/combi/1511.html,,
原田フニャオ,,,はらだふにゃお,p,1989年05月19日,,,
大原優一,,,おおはらゆういち,p,1989年11月06日,,,
チャンス大城,,,ちゃんすおおしろ,p,1975年01月22日,,,
テツandトモ,,,てつあんどとも,u,1998年,,,
テツ,,,てつ,p,1970年5月9日,,,
トモ,,テツandトモのメンバー,とも,p,1970年5月10日,,,
どくさいスイッチ企画,,,どくさいすいっちきかく,p,1987年9月8日,,,
アームストロング,,,あーむすとろんぐ,u,2000年,,,
とにかく明るい安村,,,とにかくあかるいやすむら,p,1982年3月15日,,,
くり,,,くり,p,1981年8月4日,,,
トム・ブラウン,,,とむぶらうん,u,2009年1月12日,https://www.m-1gp.com/combi/286.html,,
みちお,,,みちお,p,1984年12月29日,,,
布川ひろき,,,ぬのかわひろき,p,1984年01月28日,,,
ナオユキ,,,なおゆき,p,1966年12月29日,,,
ニッポンの社長,,,にっぽんのしゃちょう,u,2013年11月1日,https://www.m-1gp.com/combi/982.html,,
ケツ,,,けつ,p,1990年06月11日,,,
辻皓平,,,つじこうへい,p,1986年11月15日,,,
にゃんこスター,,,にゃんこすたー,u,2017年5月7日,https://www.m-1gp.com/combi/7115.html,,
アンゴラ村長,,,あんごらそんちょう,p,1994年05月17日,,,
スーパー3助,,,すーぱーさんすけ,p,1983年05月03日,,,
ネゴシックス,,,ねごしっくす,p,1978年6月28日,,,
パーパー,,,ぱーぱー,u,2014年,,,
ほしのディスコ,,,ほしのでぃすこ,p,1989年10月23日,,,
パーパーほしのディスコ,,,ぱーぱーほしのでぃすこ,p,,,ほしのディスコ,
あいなぷぅ,,,あいなぷぅ,p,1994年2月4日,,,
バカリズム,,,ばかりずむ,p,1975年11月28日,,,
バッテリィズ,,,ばってりぃず,u,2017年10月15日,https://www.m-1gp.com/combi/7446.html,,
寺家,,,じけ,p,1990年08月07日,,,
エース,,,えーす,p,1994年11月02日,,,
バッファロー吾郎,,,ばっふぁろーごろう,u,1989年10月,,,
バッファロー吾郎A,,,ばっふぁろーごろうえー,p,1970年11月24日,,,
バッファロー吾郎 木村,,,ばっふぁろーごろうきむら,p,,,バッファロー吾郎A,
キムラ・ケブラーダ,,,きむらけぶらーだ,p,,,バッファロー吾郎A,
竹若元博,,,たけわかもとひろ,p,1970年8月12日,,,
竹若元博（バッファロー吾郎）,,,たけわかもとひろばっふぁろーごろう,p,,,竹若元博,
ハナコ,,,はなこ,u,2014年,,,
菊田竜大,,,きくたたつひろ,p,1987年6月12日,,,
秋山寛貴,,,あきやまひろき,p,1991年9月20日,,,
岡部大,,,おかべだい,p,1989年5月30日,,,
バナナマン,,,ばななまん,u,1993年,,,
設楽統,,,したらおさむ,p,1973年4月23日,,,
日村勇紀,,,ひむらゆうき,p,1972年5月14日,,,
パペットマペット,,,ぱぺっとまぺっと,p,1998年11月3日,,,
ハリウッドザコシショウ,,,はりうっどざこししょう,p,1974年02月13日,,,
ハリセンボン,,,はりせんぼん,u,2003年5月,,,
近藤春菜,,,こんどうはるな,p,1983年2月23日,,,
箕輪はるか,,,みのわはるか,p,1980年1月1日,,,
バンビーノ,,,ばんびーの,u,2008年4月1日,https://www.m-1gp.com/combi/18319.html,,
藤田ユウキ,,,ふじたゆうき,p,1985年07月30日,,,
石山タオル,,,いしやまたおる,p,1984年12月20日,,,
ピース,,,ぴーす,u,2003年10月,,,
又吉直樹,,,またよしなおき,p,1980年6月2日,,,
ピース：又吉,,,ぴーすまたよし,p,,,又吉直樹,
綾部祐二,,,あやべゆうじ,p,1977年12月13日,,,
線香花火,,,せんこうはなび,u,,,,
原偉大,,,はらたけひろ,p,1980年10月4日,,,
ヒューマン中村,,,ひゅーまんなかむら,p,1983年9月8日,,,
ヒロシ,,,ひろし,p,1972年1月23日,,,
フットボールアワー,,,ふっとぼーるあわー,u,1999年4月,,,
後藤輝基,,,ごとうてるもと,p,1974年06月18日,,,
岩尾望,,,いわおのぞむ,p,1975年12月19日,,,
ブラックマヨネーズ,,,ぶらっくまよねーず,u,1997年,,,
吉田敬,,,よしだたかし,p,1973年06月27日,,,
小杉竜一,,,こすぎりゅういち,p,1973年07月05日,,,
星田英利,,,ほしだひでとし,p,1971年08月06日,,,
ほっしゃん。,,,ほっしゃん,p,,,星田英利,
ほっしゃん,,,ほっしゃん,p,,,星田英利,
ますだおかだ,,,ますだおかだ,u,1993年1月,,,
岡田圭右,,,おかだけいすけ,p,1968年11月17日,,,
増田英彦,,,ますだひでひこ,p,1970年2月9日,,,
マンプクトリオ,,,まんぷくとりお,u,2021年03月12日,https://www.m-1gp.com/combi/39442.html,,
マツモトクラブ,,,まつもとくらぶ,p,1976年06月08日,,,
もじゃ,,,もじゃ,p,1981年04月19日,,,
しゃばぞう,,,しゃばぞう,p,1974年07月07日,,,
デニッシュ,,,でにっしゅ,u,2006年6月,,,
ミヤシタガク,,,みやしたがく,p,1978年11月12日,,,
中村シュフ,,,なかむらしゅふ,p,1979年7月19日,,,
メルヘン須長,,,めるへんすなが,p,1986年1月7日,,,
もも,,,もも,u,2017年01月01日,https://www.m-1gp.com/combi/6401.html,,
せめる。,,,せめる,p,1993年07月14日,,,
まもる。,,,まもる,p,1994年02月27日,,,
やまもとまさみ,,,やまもとまさみ,p,1974年2月21日,,,
ゆにばーす,,,ゆにばーす,u,2013年04月01日,https://www.m-1gp.com/combi/1020.html,,
川瀬名人,,,かわせめいじん,p,1984年08月11日,,,
はら,,,はら,p,1989年11月07日,,,
ライス,,,らいす,u,2003年4月,https://www.m-1gp.com/combi/3030.html,,
関町知弘,,,せきまちともひろ,p,1983年03月02日,,,
田所仁,,,たどころじん,p,1982年10月28日,,,
ラバーガール,,,らばーがーる,u,2001年,,,
飛永翼,,,とびながつばさ,p,1983年2月13日,,,
大水洋介,,,おおみずようすけ,p,1982年12月12日,,,
りあるキッズ,,,りあるきっず,u,1996年5月,,,
安田善紀,,,やすだよしのり,p,1985年9月20日,,,
長田融季,,,ながたゆうき,p,1985年7月30日,,,
リンゴスター,,,りんごすたー,u,2010年,,,
小川裕史,,,おがわゆうし,p,1991年7月31日,,,
平田俊之,,,ひらたとしゆき,p,1989年10月14日,,,
タッカーノ,,,たっかーの,p,1988年3月1日,,,
ロッチ,,,ろっち,u,2005年,,,
コカドケンタロウ,,,こかどけんたろう,p,1978年8月8日,,,
中岡創一,,,なかおかそういち,p,1977年12月8日,,,
