comp,year,seat_no,judge_name
m1,2024,1,博多大吉
m1,2024,2,塙宣之
m1,2024,3,哲夫
m1,2024,4,若林正恭
m1,2024,5,石田明
m1,2024,6,山内健司
m1,2024,7,柴田英嗣
m1,2024,8,海原ともこ
m1,2024,9,礼二
m1,2023,1,山田邦子
m1,2023,2,博多大吉
m1,2023,3,富澤たけし
m1,2023,4,塙宣之
m1,2023,5,海原ともこ
m1,2023,6,礼二
m1,2023,7,松本人志
m1,2022,1,山田邦子
m1,2022,2,博多大吉
m1,2022,3,塙宣之
m1,2022,4,富澤たけし
m1,2022,5,立川志らく
m1,2022,6,礼二
m1,2022,7,松本人志
m1,2021,1,オール巨人
m1,2021,2,富澤たけし
m1,2021,3,塙宣之
m1,2021,4,立川志らく
m1,2021,5,礼二
m1,2021,6,松本人志
m1,2021,7,上沼恵美子
m1,2020,1,オール巨人
m1,2020,2,富澤たけし
m1,2020,3,塙宣之
m1,2020,4,立川志らく
m1,2020,5,礼二
m1,2020,6,松本人志
m1,2020,7,上沼恵美子
m1,2019,1,オール巨人
m1,2019,2,塙宣之
m1,2019,3,立川志らく
m1,2019,4,富澤たけし
m1,2019,5,礼二
m1,2019,6,松本人志
m1,2019,7,上沼恵美子
m1,2018,1,オール巨人
m1,2018,2,礼二
m1,2018,3,塙宣之
m1,2018,4,立川志らく
m1,2018,5,富澤たけし
m1,2018,6,松本人志
m1,2018,7,上沼恵美子
m1,2017,1,オール巨人
m1,2017,2,渡辺正行
m1,2017,3,礼二
m1,2017,4,春風亭小朝
m1,2017,5,博多大吉
m1,2017,6,松本人志
m1,2017,7,上沼恵美子
m1,2016,1,オール巨人
m1,2016,2,礼二
m1,2016,3,博多大吉
m1,2016,4,松本人志
m1,2016,5,上沼恵美子
m1,2015,1,哲夫
m1,2015,2,佐藤哲夫
m1,2015,3,石田明
m1,2015,4,富澤たけし
m1,2015,5,徳井義実
m1,2015,6,吉田敬
m1,2015,7,岩尾望
m1,2015,8,増田英彦
m1,2015,9,礼二
koc,2025,1,じろう
koc,2025,2,山内健司
koc,2025,3,秋山竜次
koc,2025,4,小峠英二
koc,2025,5,飯塚悟志
koc,2024,1,じろう
koc,2024,2,山内健司
koc,2024,3,秋山竜次
koc,2024,4,小峠英二
koc,2024,5,飯塚悟志
koc,2023,1,山内健司
koc,2023,2,秋山竜次
koc,2023,3,小峠英二
koc,2023,4,飯塚悟志
koc,2023,5,松本人志
koc,2022,1,山内健司
koc,2022,2,秋山竜次
koc,2022,3,小峠英二
koc,2022,4,飯塚悟志
koc,2022,5,松本人志
koc,2021,1,山内健司
koc,2021,2,秋山竜次
koc,2021,3,小峠英二
koc,2021,4,飯塚悟志
koc,2021,5,松本人志
koc,2020,1,設楽統
koc,2020,2,日村勇紀
koc,2020,3,三村マサカズ
koc,2020,4,大竹一樹
koc,2020,5,松本人志
koc,2019,1,設楽統
koc,2019,2,日村勇紀
koc,2019,3,三村マサカズ
koc,2019,4,大竹一樹
koc,2019,5,松本人志
koc,2018,1,設楽統
koc,2018,2,日村勇紀
koc,2018,3,三村マサカズ
koc,2018,4,大竹一樹
koc,2018,5,松本人志
koc,2017,1,設楽統
koc,2017,2,日村勇紀
koc,2017,3,三村マサカズ
koc,2017,4,大竹一樹
koc,2017,5,松本人志
koc,2016,1,設楽統
koc,2016,2,日村勇紀
koc,2016,3,三村マサカズ
koc,2016,4,大竹一樹
koc,2016,5,松本人志
koc,2015,1,設楽統
koc,2015,2,日村勇紀
koc,2015,3,三村マサカズ
koc,2015,4,大竹一樹
koc,2015,5,松本人志
r1,2025,1,ハリウッドザコシショウ
r1,2025,2,佐久間一行
r1,2025,3,野田クリスタル
r1,2025,4,小籔千豊
r1,2025,5,友近
r1,2025,6,バカリズム
r1,2025,7,陣内智則
r1,2024,1,ハリウッドザコシショウ
r1,2024,2,野田クリスタル
r1,2024,3,小籔千豊
r1,2024,4,バカリズム
r1,2024,5,陣内智則
r1,2023,1,ハリウッドザコシショウ
r1,2023,2,野田クリスタル
r1,2023,3,小籔千豊
r1,2023,4,バカリズム
r1,2023,5,陣内智則
r1,2022,1,ハリウッドザコシショウ
r1,2022,2,野田クリスタル
r1,2022,3,小籔千豊
r1,2022,4,バカリズム
r1,2022,5,陣内智則
r1,2021,1,陣内智則
r1,2021,2,友近
r1,2021,3,ホリ
r1,2021,4,古坂大魔王
r1,2021,5,野田クリスタル
r1,2021,6,川島明
r1,2021,7,ハリウッドザコシショウ
r1,2021,8,Twitter
abc,2015,1,太平サブロー
abc,2015,2,久本雅美
abc,2015,3,天野ひろゆき
abc,2015,4,陣内智則
abc,2015,5,ヒロミ
abc,2014,1,太平サブロー
abc,2014,2,久本雅美
abc,2014,3,木村祐一
abc,2014,4,天野ひろゆき
abc,2014,5,板尾創路
abc,2013,1,太平サブロー
abc,2013,2,天野ひろゆき
abc,2013,3,板尾創路
abc,2013,4,陣内智則
abc,2013,5,渡辺正行
abc,2012,1,太平サブロー
abc,2012,2,リンゴ
abc,2012,3,天野ひろゆき
abc,2012,4,板尾創路
abc,2012,5,渡辺正行
