comp,year,title,seq_no,final_date,short_label,full_score1,full_score2
m1,2001,M-1グランプリ2001,1,2001-12-25,2001,1000,7
m1,2002,M-1グランプリ2002,2,2002-12-29,2002,700,7
m1,2003,M-1グランプリ2003,3,2003-12-28,2003,700,7
m1,2004,M-1グランプリ2004,4,2004-12-26,2004,700,7
m1,2005,M-1グランプリ2005,5,2005-12-25,2005,700,7
m1,2006,M-1グランプリ2006,6,2006-12-24,2006,700,7
m1,2007,M-1グランプリ2007,7,2007-12-23,2007,700,7
m1,2008,M-1グランプリ2008,8,2008-12-21,2008,700,7
m1,2009,M-1グランプリ2009,9,2009-12-20,2009,700,7
m1,2010,M-1グランプリ2010,10,2010-12-26,2010,700,7
m1,2015,M-1グランプリ2015,11,2015-12-6,2015,900,9
m1,2016,M-1グランプリ2016,12,2016-12-4,2016,500,5
m1,2017,M-1グランプリ2017,13,2017-12-3,2017,700,7
m1,2018,M-1グランプリ2018,14,2018-12-2,2018,700,7
m1,2019,M-1グランプリ2019,15,2019-12-22,2019,700,7
m1,2020,M-1グランプリ2020,16,2020-12-20,2020,700,7
m1,2021,M-1グランプリ2021,17,2021-12-19,2021,700,7
m1,2022,M-1グランプリ2022,18,2022-12-18,2022,700,7
m1,2023,M-1グランプリ2023,19,2023-12-24,2023,700,7
m1,2024,M-1グランプリ2024,20,2024-12-22,2024,900,9
tm,2011,THE MANZAI 2011,1,2011-12-17,2011,10,10
tm,2012,THE MANZAI 2012,2,2012-12-16,2012,10,10
tm,2013,THE MANZAI 2013,3,2013-12-15,2013,10,10
tm,2014,THE MANZAI 2014,4,2014-12-14,2014,10,10
koc,2008,キングオブコント2008,1,2008-10-5,2008,1000,8
koc,2009,キングオブコント2009,2,2009-9-22,2009,1000,1000
koc,2010,キングオブコント2010,3,2010-9-23,2010,1000,1000
koc,2011,キングオブコント2011,4,2011-9-23,2011,1000,1000
koc,2012,キングオブコント2012,5,2012-9-22,2012,1000,1000
koc,2013,キングオブコント2013,6,2013-9-23,2013,1000,1000
koc,2014,キングオブコント2014,7,2014-10-13,2014,101,101
koc,2015,キングオブコント2015,8,2015-10-11,2015,500,500
koc,2016,キングオブコント2016,9,2016-10-2,2016,500,500
koc,2017,キングオブコント2017,10,2017-10-1,2017,500,500
koc,2018,キングオブコント2018,11,2018-9-22,2018,500,500
koc,2019,キングオブコント2019,12,2019-9-21,2019,500,500
koc,2020,キングオブコント2020,13,2020-9-26,2020,500,500
koc,2021,キングオブコント2021,14,2021-10-2,2021,500,500
koc,2022,キングオブコント2022,15,2022-10-8,2022,500,500
koc,2023,キングオブコント2023,16,2023-10-21,2023,500,500
koc,2024,キングオブコント2024,17,2024-10-12,2024,500,500
koc,2025,キングオブコント2025,18,2025-10-11,2025,500,500
