comp,year,comedian_name,comedian_number,rank,catchphrase,first_group,first_order,first_result,first_title,first_movie,second_order,second_result,second_title,second_movie,third_order,third_result,third_title,third_movie
m1,2025,たくろう,,優勝,軟弱の星,,7,861点,リングアナ,,3番,8票,ビバリーヒルズ,,,,,
m1,2025,ドンデコルテ,,2位,不惑の主張,,8,845点,デジタルデトックス,,1番,1票,町の名物おじさん,,,,,
m1,2025,エバース,,3位,雑談ファンタジスタ,,4,870点,ドライブデート,,2番,0票,腹話術師,,,,,
m1,2025,真空ジェシカ,,4位,アンコントロールV,,5,844点,ペーパードライバー講習,,,,,,,,,
m1,2025,ヤーレンズ,,5位,エンドレス・ウザ,,1,843点,結婚したい,,,,,,,,,
m1,2025,豪快キャプテン,,6位,説教ゴリラ襲来,,9,839点,小さいカバン,,,,,,,,,
m1,2025,カナメストーン,,7位,（敗者復活組）,,3,830点,ダーツの旅,,,,,,,,,
m1,2025,ヨネダ2000,,8位,おかえり奇想天外,,6,826点,ドリブル,,,,,,,,,
m1,2025,ママタルト,,9位,じゃあ、あんたが太ってみろよ,,10,823点,初詣,,,,,,,,,
m1,2025,めぞん,,10位,情熱フルスロットル,,2,820点,彼氏のふり,,,,,,,,,
m1,2025,20世紀,,準決勝進出,,,,,,,,,,,,,,
m1,2025,例えば炎,,準決勝進出,,,,,,,,,,,,,,
m1,2025,生姜猫,,準決勝進出,,,,,,,,,,,,,,
m1,2025,ドーナツ・ピーナツ,,準決勝進出,,,,,,,,,,,,,,
m1,2025,黒帯,,準決勝進出,,,,,,,,,,,,,,
m1,2025,カベポスター,,準決勝進出,,,,,,,,,,,,,,
m1,2025,ゼロカラン,,準決勝進出,,,,,,,,,,,,,,
m1,2025,大王,,準決勝進出,,,,,,,,,,,,,,
m1,2025,おおぞらモード,,準決勝進出,,,,,,,,,,,,,,
m1,2025,センチネル,,準決勝進出,,,,,,,,,,,,,,
m1,2025,今夜も星が綺麗,,準決勝進出,,,,,,,,,,,,,,
m1,2025,TCクラクション,,準決勝進出,,,,,,,,,,,,,,
m1,2025,イチゴ,,準決勝進出,,,,,,,,,,,,,,
m1,2025,ひつじねいり,,準決勝進出,,,,,,,,,,,,,,
m1,2025,フランツ,,準決勝進出,,,,,,,,,,,,,,
m1,2025,スタミナパン,,準決勝進出,,,,,,,,,,,,,,
m1,2025,ミカボ,,準決勝進出,,,,,,,,,,,,,,
m1,2025,ネコニスズ,,準決勝進出,,,,,,,,,,,,,,
m1,2025,ミキ,,準決勝進出,,,,,,,,,,,,,,
m1,2025,豆鉄砲,,準決勝進出,,,,,,,,,,,,,,
m1,2025,滝音,,準決勝進出,（TVerワイルドカード枠）,,,,,,,,,,,,,
m1,2025,タチマチ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ラメ入り,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,天才ピアニスト,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ハスキーポーズ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,もも,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,華山,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,釈迦虎,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,チェリー大作戦,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,彼岸花,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ぎょうぶ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,翠星チークダンス,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,マーティー,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ダブルヒガシ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,鬼としみちゃむ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,センリーズ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,オーパスツー,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ライムギ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,チューリップフィクサー,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ネイビーズアフロ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,空前メテオ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,マーメイド,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,カシスオレンジ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ザ・布団,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,フースーヤ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,牛ぺぺ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,タイムキーパー,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,マイスイートメモリーズ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,隣人,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,愛凛冴,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,三遊間,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ジョックロック,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,サンタモニカ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ダンビラムーチョ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ゼスト,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,カーネーション,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,EXIT,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ピ夜,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,金魚番長,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,マリーマリー,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,1000,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ちょんまげラーメン,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,家族チャーハン,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,インテイク,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,6000,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,グリーンランプ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ナユタ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,4000,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,おちもり,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ドンココ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ナイチンゲールダンス,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,からし蓮根,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,CITY,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,シシガシラ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,足腰げんき教室,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,太鵬,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,東京ホテイソン,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ジグロポッカ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,伝書鳩,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,くらげ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,一刻,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,さすらいラビー,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,うちまつげ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ビスケットブラザーズ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,軟水,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,いぬ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,シャウト!!,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,素敵じゃないか,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,やさしい王様,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ラパルフェ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,四千頭身,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,狛犬,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ダンゴ虫たち,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,紅しょうが,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,マードック,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,兄弟,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ロボドカーン,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,フランスピアノ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,オッパショ石,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,コメジマン,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,グラム,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ケビンス,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,アルバカーキ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,コーツ,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,きしたかの,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ただならぬ刀,,準々決勝進出,,,,,,,,,,,,,,
m1,2025,ド桜,,準々決勝進出,,,,,,,,,,,,,,
