comp,year,round_no,match_no,comedian_name,comedian_number,seat_no,score
m1,2024,2,,令和ロマン,,1,1
m1,2024,2,,令和ロマン,,2,0
m1,2024,2,,令和ロマン,,3,0
m1,2024,2,,令和ロマン,,4,0
m1,2024,2,,令和ロマン,,5,1
m1,2024,2,,令和ロマン,,6,1
m1,2024,2,,令和ロマン,,7,1
m1,2024,2,,令和ロマン,,8,1
m1,2024,2,,令和ロマン,,9,0
m1,2024,2,,バッテリィズ,,1,0
m1,2024,2,,バッテリィズ,,2,0
m1,2024,2,,バッテリィズ,,3,1
m1,2024,2,,バッテリィズ,,4,1
m1,2024,2,,バッテリィズ,,5,0
m1,2024,2,,バッテリィズ,,6,0
m1,2024,2,,バッテリィズ,,7,0
m1,2024,2,,バッテリィズ,,8,0
m1,2024,2,,バッテリィズ,,9,1
m1,2024,2,,真空ジェシカ,,1,0
m1,2024,2,,真空ジェシカ,,2,1
m1,2024,2,,真空ジェシカ,,3,0
m1,2024,2,,真空ジェシカ,,4,0
m1,2024,2,,真空ジェシカ,,5,0
m1,2024,2,,真空ジェシカ,,6,0
m1,2024,2,,真空ジェシカ,,7,0
m1,2024,2,,真空ジェシカ,,8,0
m1,2024,2,,真空ジェシカ,,9,0
m1,2024,1,,令和ロマン,,1,96
m1,2024,1,,令和ロマン,,2,93
m1,2024,1,,令和ロマン,,3,90
m1,2024,1,,令和ロマン,,4,94
m1,2024,1,,令和ロマン,,5,96
m1,2024,1,,令和ロマン,,6,96
m1,2024,1,,令和ロマン,,7,95
m1,2024,1,,令和ロマン,,8,97
m1,2024,1,,令和ロマン,,9,93
m1,2024,1,,ヤーレンズ,,1,92
m1,2024,1,,ヤーレンズ,,2,92
m1,2024,1,,ヤーレンズ,,3,91
m1,2024,1,,ヤーレンズ,,4,92
m1,2024,1,,ヤーレンズ,,5,92
m1,2024,1,,ヤーレンズ,,6,91
m1,2024,1,,ヤーレンズ,,7,91
m1,2024,1,,ヤーレンズ,,8,94
m1,2024,1,,ヤーレンズ,,9,90
m1,2024,1,,真空ジェシカ,,1,97
m1,2024,1,,真空ジェシカ,,2,94
m1,2024,1,,真空ジェシカ,,3,90
m1,2024,1,,真空ジェシカ,,4,93
m1,2024,1,,真空ジェシカ,,5,95
m1,2024,1,,真空ジェシカ,,6,97
m1,2024,1,,真空ジェシカ,,7,94
m1,2024,1,,真空ジェシカ,,8,95
m1,2024,1,,真空ジェシカ,,9,94
m1,2024,1,,マユリカ,,1,93
m1,2024,1,,マユリカ,,2,91
m1,2024,1,,マユリカ,,3,88
m1,2024,1,,マユリカ,,4,91
m1,2024,1,,マユリカ,,5,91
m1,2024,1,,マユリカ,,6,90
m1,2024,1,,マユリカ,,7,89
m1,2024,1,,マユリカ,,8,96
m1,2024,1,,マユリカ,,9,91
m1,2024,1,,ダイタク,,1,90
m1,2024,1,,ダイタク,,2,93
m1,2024,1,,ダイタク,,3,89
m1,2024,1,,ダイタク,,4,92
m1,2024,1,,ダイタク,,5,90
m1,2024,1,,ダイタク,,6,92
m1,2024,1,,ダイタク,,7,88
m1,2024,1,,ダイタク,,8,94
m1,2024,1,,ダイタク,,9,92
m1,2024,1,,ジョックロック,,1,89
m1,2024,1,,ジョックロック,,2,91
m1,2024,1,,ジョックロック,,3,91
m1,2024,1,,ジョックロック,,4,90
m1,2024,1,,ジョックロック,,5,89
m1,2024,1,,ジョックロック,,6,93
m1,2024,1,,ジョックロック,,7,88
m1,2024,1,,ジョックロック,,8,95
m1,2024,1,,ジョックロック,,9,93
m1,2024,1,,バッテリィズ,,1,95
m1,2024,1,,バッテリィズ,,2,93
m1,2024,1,,バッテリィズ,,3,95
m1,2024,1,,バッテリィズ,,4,95
m1,2024,1,,バッテリィズ,,5,97
m1,2024,1,,バッテリィズ,,6,96
m1,2024,1,,バッテリィズ,,7,96
m1,2024,1,,バッテリィズ,,8,97
m1,2024,1,,バッテリィズ,,9,97
m1,2024,1,,ママタルト,,1,88
m1,2024,1,,ママタルト,,2,89
m1,2024,1,,ママタルト,,3,89
m1,2024,1,,ママタルト,,4,89
m1,2024,1,,ママタルト,,5,90
m1,2024,1,,ママタルト,,6,93
m1,2024,1,,ママタルト,,7,89
m1,2024,1,,ママタルト,,8,92
m1,2024,1,,ママタルト,,9,93
m1,2024,1,,エバース,,1,94
m1,2024,1,,エバース,,2,94
m1,2024,1,,エバース,,3,93
m1,2024,1,,エバース,,4,94
m1,2024,1,,エバース,,5,96
m1,2024,1,,エバース,,6,94
m1,2024,1,,エバース,,7,93
m1,2024,1,,エバース,,8,94
m1,2024,1,,エバース,,9,96
m1,2024,1,,トム・ブラウン,,1,95
m1,2024,1,,トム・ブラウン,,2,95
m1,2024,1,,トム・ブラウン,,3,92
m1,2024,1,,トム・ブラウン,,4,93
m1,2024,1,,トム・ブラウン,,5,88
m1,2024,1,,トム・ブラウン,,6,90
m1,2024,1,,トム・ブラウン,,7,87
m1,2024,1,,トム・ブラウン,,8,94
m1,2024,1,,トム・ブラウン,,9,89
m1,2023,2,,令和ロマン,,1,0
m1,2023,2,,令和ロマン,,2,1
m1,2023,2,,令和ロマン,,3,0
m1,2023,2,,令和ロマン,,4,1
m1,2023,2,,令和ロマン,,5,0
m1,2023,2,,令和ロマン,,6,1
m1,2023,2,,令和ロマン,,7,1
m1,2023,2,,ヤーレンズ,,1,1
m1,2023,2,,ヤーレンズ,,2,0
m1,2023,2,,ヤーレンズ,,3,1
m1,2023,2,,ヤーレンズ,,4,0
m1,2023,2,,ヤーレンズ,,5,1
m1,2023,2,,ヤーレンズ,,6,0
m1,2023,2,,ヤーレンズ,,7,0
m1,2023,2,,さや香,,1,0
m1,2023,2,,さや香,,2,0
m1,2023,2,,さや香,,3,0
m1,2023,2,,さや香,,4,0
m1,2023,2,,さや香,,5,0
m1,2023,2,,さや香,,6,0
m1,2023,2,,さや香,,7,0
m1,2023,1,,令和ロマン,,1,92
m1,2023,1,,令和ロマン,,2,91
m1,2023,1,,令和ロマン,,3,94
m1,2023,1,,令和ロマン,,4,93
m1,2023,1,,令和ロマン,,5,94
m1,2023,1,,令和ロマン,,6,94
m1,2023,1,,令和ロマン,,7,90
m1,2023,1,,シシガシラ,,1,87
m1,2023,1,,シシガシラ,,2,88
m1,2023,1,,シシガシラ,,3,91
m1,2023,1,,シシガシラ,,4,90
m1,2023,1,,シシガシラ,,5,92
m1,2023,1,,シシガシラ,,6,91
m1,2023,1,,シシガシラ,,7,88
m1,2023,1,,さや香,,1,98
m1,2023,1,,さや香,,2,94
m1,2023,1,,さや香,,3,95
m1,2023,1,,さや香,,4,93
m1,2023,1,,さや香,,5,96
m1,2023,1,,さや香,,6,94
m1,2023,1,,さや香,,7,89
m1,2023,1,,カベポスター,,1,94
m1,2023,1,,カベポスター,,2,89
m1,2023,1,,カベポスター,,3,88
m1,2023,1,,カベポスター,,4,89
m1,2023,1,,カベポスター,,5,95
m1,2023,1,,カベポスター,,6,92
m1,2023,1,,カベポスター,,7,88
m1,2023,1,,マユリカ,,1,92
m1,2023,1,,マユリカ,,2,90
m1,2023,1,,マユリカ,,3,96
m1,2023,1,,マユリカ,,4,92
m1,2023,1,,マユリカ,,5,92
m1,2023,1,,マユリカ,,6,92
m1,2023,1,,マユリカ,,7,91
m1,2023,1,,ヤーレンズ,,1,93
m1,2023,1,,ヤーレンズ,,2,91
m1,2023,1,,ヤーレンズ,,3,97
m1,2023,1,,ヤーレンズ,,4,93
m1,2023,1,,ヤーレンズ,,5,96
m1,2023,1,,ヤーレンズ,,6,93
m1,2023,1,,ヤーレンズ,,7,93
m1,2023,1,,真空ジェシカ,,1,90
m1,2023,1,,真空ジェシカ,,2,95
m1,2023,1,,真空ジェシカ,,3,93
m1,2023,1,,真空ジェシカ,,4,91
m1,2023,1,,真空ジェシカ,,5,91
m1,2023,1,,真空ジェシカ,,6,91
m1,2023,1,,真空ジェシカ,,7,92
m1,2023,1,,ダンビラムーチョ,,1,93
m1,2023,1,,ダンビラムーチョ,,2,89
m1,2023,1,,ダンビラムーチョ,,3,92
m1,2023,1,,ダンビラムーチョ,,4,91
m1,2023,1,,ダンビラムーチョ,,5,90
m1,2023,1,,ダンビラムーチョ,,6,89
m1,2023,1,,ダンビラムーチョ,,7,87
m1,2023,1,,くらげ,,1,89
m1,2023,1,,くらげ,,2,87
m1,2023,1,,くらげ,,3,89
m1,2023,1,,くらげ,,4,90
m1,2023,1,,くらげ,,5,89
m1,2023,1,,くらげ,,6,90
m1,2023,1,,くらげ,,7,86
m1,2023,1,,モグライダー,,1,87
m1,2023,1,,モグライダー,,2,89
m1,2023,1,,モグライダー,,3,90
m1,2023,1,,モグライダー,,4,91
m1,2023,1,,モグライダー,,5,93
m1,2023,1,,モグライダー,,6,91
m1,2023,1,,モグライダー,,7,91
m1,2022,2,,ウエストランド,,1,1
m1,2022,2,,ウエストランド,,2,0
m1,2022,2,,ウエストランド,,3,1
m1,2022,2,,ウエストランド,,4,1
m1,2022,2,,ウエストランド,,5,1
m1,2022,2,,ウエストランド,,6,1
m1,2022,2,,ウエストランド,,7,1
m1,2022,2,,ロングコートダディ,,1,0
m1,2022,2,,ロングコートダディ,,2,0
m1,2022,2,,ロングコートダディ,,3,0
m1,2022,2,,ロングコートダディ,,4,0
m1,2022,2,,ロングコートダディ,,5,0
m1,2022,2,,ロングコートダディ,,6,0
m1,2022,2,,ロングコートダディ,,7,0
m1,2022,2,,さや香,,1,0
m1,2022,2,,さや香,,2,1
m1,2022,2,,さや香,,3,0
m1,2022,2,,さや香,,4,0
m1,2022,2,,さや香,,5,0
m1,2022,2,,さや香,,6,0
m1,2022,2,,さや香,,7,0
m1,2022,1,,カベポスター,,1,84
m1,2022,1,,カベポスター,,2,94
m1,2022,1,,カベポスター,,3,92
m1,2022,1,,カベポスター,,4,93
m1,2022,1,,カベポスター,,5,89
m1,2022,1,,カベポスター,,6,92
m1,2022,1,,カベポスター,,7,90
m1,2022,1,,真空ジェシカ,,1,95
m1,2022,1,,真空ジェシカ,,2,92
m1,2022,1,,真空ジェシカ,,3,92
