comp,year,round_no,comedian_name,comedian_number,seat_1,seat_2,seat_3,seat_4,seat_5,seat_6,seat_7,seat_8,seat_9
koc,2024,1,ラブレターズ,,95,95,94,96,95,,,,
koc,2024,1,隣人,,92,91,92,92,91,,,,
koc,2024,1,cacao,,94,91,93,95,95,,,,
koc,2024,1,ファイヤーサンダー,,95,95,94,94,98,,,,
koc,2024,1,ニッポンの社長,,92,93,95,96,92,,,,
koc,2024,1,コットン,,91,91,93,93,93,,,,,
koc,2024,1,や団,,96,94,96,96,92,,,,
koc,2024,1,シティホテル3号室,,93,92,94,95,97,,,,
koc,2024,1,ダンビラムーチョ,,94,94,95,93,93,,,,
koc,2024,1,ロングコートダディ,,96,95,94,94,96,,,,
koc,2024,2,ラブレターズ,,94,96,95,94,93,,,,
koc,2024,2,ロングコートダディ,,95,95,96,93,92,,,,
koc,2024,2,ファイヤーサンダー,,93,94,93,95,94,,,,
